Supplier Id,Invoice Id,Invoice Date,Invoice Amount,Terms,Payment Date,Payment Amount
supplier_2,72,2020-04-06,1097.18,30,,
supplier_6,6,2020-06-08,8024.24,90,,
supplier_1,11,2020-04-26,1909.56,120,,
supplier_2,46,2020-03-23,1550.88,30,2020-04-22,1550.88
supplier_1,27,2020-05-09,372.45,120,,
supplier_5,62,2020-04-04,402.51,60,,
supplier_10,28,2020-05-30,1049.57,120,,
supplier_10,71,2020-04-17,9788.14,60,,
supplier_10,52,2020-06-02,2620.23,90,,
supplier_11,57,2020-04-29,1774.29,60,,
supplier_4,92,2020-03-25,1254.35,120,,
supplier_9,26,2020-05-20,1535.41,90,,
supplier_2,60,2020-04-15,9778.47,30,,
supplier_7,95,2020-06-10,214.52,90,,
supplier_11,61,2020-05-06,855.58,60,,
supplier_5,96,2020-04-02,2637.64,120,,
supplier_9,30,2020-05-27,309.70,90,,
supplier_2,65,2020-04-23,2591.76,30,,
supplier_5,70,2020-03-19,577.8,60,,
supplier_10,4,2020-05-14,671.39,90,,
supplier_1,77,2020-04-09,3497.45,30,,
supplier_6,11,2020-06-04,628.51,120,,
supplier_8,16,2020-04-30,1848.34,30,2020-05-30,1848.34
supplier_4,68,2020-06-07,3785.24,120,,
supplier_9,2,2020-05-04,1483.29,90,,
supplier_2,37,2020-03-30,527.35,30,,
supplier_7,3,2020-05-25,480.41,90,,
supplier_11,37,2020-04-20,2393.73,120,,
supplier_3,10,2020-06-15,3468.30,90,,
supplier_3,53,2020-05-02,142.36,60,,
supplier_7,88,2020-03-29,1437.42,120,,
supplier_1,54,2020-05-24,2990.99,90,,
supplier_1,97,2020-04-11,1613.31,120,,
supplier_4,70,2020-06-05,87.37,60,,
supplier_5,75,2020-05-01,1948.69,90,,
supplier_11,9,2020-03-28,285.74,60,,
supplier_4,44,2020-05-22,2530.80,120,,
supplier_9,78,2020-04-18,2173.86,90,,
supplier_2,13,2020-06-12,235.44,60,,
supplier_2,88,2020-04-30,1026.50,120,,
supplier_5,60,2020-03-26,1144.81,30,,
supplier_9,95,2020-05-21,2737.87,90,,
supplier_3,29,2020-04-16,1479.19,120,,
supplier_6,34,2020-06-11,1910.25,90,2020-09-09,1910.25
supplier_6,77,2020-04-29,1364.82,60,,
supplier_10,12,2020-03-25,1545.88,120,,
supplier_4,46,2020-05-20,681.94,60,,
supplier_6,51,2020-04-15,1813.25,90,,
supplier_11,85,2020-06-10,2702.31,60,,
supplier_4,20,2020-05-06,2112.37,60,,
supplier_6,24,2020-03-24,4042.69,30,2020-04-23,4042.69
supplier_4,38,2020-05-10,531.52,60,,
supplier_9,72,2020-04-05,1042.84,90,,
supplier_1,45,2020-05-31,166.47,120,,
supplier_2,50,2020-04-18,2233.53,60,,
supplier_7,84,2020-03-23,2025.59,30,2020-04-22,2025.59
supplier_8,27,2020-05-08,1343.42,60,,
supplier_10,32,2020-03-27,174.48,30,,
supplier_3,66,2020-05-21,996.54,90,,
supplier_8,1,2020-04-17,7618.60,30,,
supplier_2,35,2020-03-21,250.66,120,,
supplier_6,70,2020-05-16,2443.72,60,,
supplier_11,4,2020-04-11,2840.77,30,2020-05-11,2840.77
supplier_11,47,2020-05-28,74.35,120,,
supplier_4,14,2020-04-24,3931.41,60,2020-06-23,3931.41
supplier_3,95,2020-06-10,1770.24,120,,
supplier_5,0,2020-04-28,603.56,120,,
supplier_9,34,2020-03-24,3326.61,90,2020-06-22,3326.61
supplier_7,48,2020-05-10,1316.45,120,,
supplier_10,91,2020-03-28,1961.2,90,,
supplier_1,25,2020-05-22,1721.8,60,,
supplier_4,98,2020-04-18,286.39,60,,
supplier_8,64,2020-06-12,4782.45,30,2020-07-12,4782.45
supplier_6,46,2020-04-30,1232.28,60,,
supplier_11,80,2020-03-26,2449.34,30,,
supplier_4,15,2020-05-21,1500.66,60,,
supplier_7,19,2020-04-16,568.72,120,,
supplier_1,54,2020-06-11,954.78,60,2020-08-10,954.78
supplier_1,97,2020-04-29,676.61,120,,
supplier_1,40,2020-06-15,544.92,30,,
supplier_5,6,2020-05-11,1181.98,30,,
supplier_5,50,2020-03-29,6105.81,120,,
supplier_8,22,2020-05-23,3246.19,30,,
supplier_10,65,2020-04-10,378.77,60,,
supplier_1,32,2020-06-05,1716.83,120,,
